name,latitude,longitude,website,categories,sub categories,emails,address_city,phone,address,address_region_1,address_country,opening hours,price_level,rating,burgersales,pizzasales,sodasales
Duck Donuts,35.9002652,-78.6823493,https://duckdonuts.com/locations/raleigh-nc/,bakery|cafe|restaurant|food|store,donut shop|baked goods store|bakeries and patisseries|breakfast restaurant|cafe|coffe container|coffee|coffee shop|dessert restaurant|dessert shop|food products|sweets|tea and coffee merchant,[],Raleigh,+1 919-847-3800,"8323 Creedmoor Rd, Raleigh, NC 27613, USA",North Carolina,United States,Monday: 6:00 AM ? 7:00 PM|Tuesday: 6:00 AM ? 7:00 PM|Wednesday: 6:00 AM ? 7:00 PM|Thursday: 6:00 AM ? 7:00 PM|Friday: 6:00 AM ? 7:00 PM|Saturday: 6:00 AM ? 7:00 PM|Sunday: 6:00 AM ? 7:00 PM,1,4.7,46,61,69
Taco Bell,35.5951747,-82.5329633,http://www.tacobell.com/,meal takeaway|restaurant|food,mexican restaurant|Mexican|breakfast restaurant|burrito restaurant|ethnic foods|fast food container|fast food restaurant|Fast Food|meal takeaway|southwestern us restaurant|taco restaurant|western food,[],Asheville,+1 828-253-4240,"67 Tunnel Rd, Asheville, NC 28805, USA",North Carolina,United States,Monday: 7:00 AM ? 1:00 AM|Tuesday: 7:00 AM ? 1:00 AM|Wednesday: 7:00 AM ? 1:00 AM|Thursday: 7:00 AM ? 1:00 AM|Friday: 7:00 AM ? 2:00 AM|Saturday: 7:00 AM ? 2:00 AM|Sunday: 7:00 AM ? 1:00 AM,1,3.6,71,55,30
Itza Boutza Pizza,36.352894,-76.1455261,http://ibpizza.com/,restaurant|food,italian restaurant|Italian|fast food container|pizza restaurant|Pizza|pizzas|western food,[],Camden,+1 252-338-5660,"104 Investors Way, Camden, NC 27921, USA",North Carolina,United States,Monday: 11:00 AM ? 9:00 PM|Tuesday: 11:00 AM ? 9:00 PM|Wednesday: 11:00 AM ? 9:00 PM|Thursday: 11:00 AM ? 9:00 PM|Friday: 11:00 AM ? 9:00 PM|Saturday: 11:00 AM ? 9:00 PM|Sunday: 11:30 AM ? 8:00 PM,3,4.7,62,58,10
Domino's Pizza,35.885234,-81.5311369,https://www.dominos.com/,restaurant|food,pizza restaurant|Pizza|fast food container|pizzas|western food,[],Lenoir,+1 828-728-1828,"Connelly Springs Rd, Lenoir, NC 28645, USA",North Carolina,United States,Monday: 10:30 AM ? 11:00 PM|Tuesday: 10:30 AM ? 11:00 PM|Wednesday: 10:30 AM ? 11:00 PM|Thursday: 10:30 AM ? 11:00 PM|Friday: 10:30 AM ? 12:00 AM|Saturday: 10:30 AM ? 12:00 AM|Sunday: 10:30 AM ? 11:00 PM,1,2.3,59,78,75
Twin Peaks Concord,35.3736376,-80.7260815,http://www.twinpeaksrestaurant.com/locations/concord/,bar|restaurant|food,american restaurant|American|bar and grill|Grill|bars and pubs|restaurant|sports bar|western food,"[""Randy.Dewitt@FBrest.com"", ""example@server.com"", ""marketing@twinpeaksrestaurant.com"", ""Franchise@TwinPeaksRestaurant.com"", ""mgtresumes@twinpeaksrestaurant.com"", ""construction@twinpeaksrestaurant.com"", ""development@twinpeaksrestaurant.com"", ""firehousemedia@firehouseagency.com""]",Concord,+1 910-467-8370,"8601 Concord Mills Boulevard, Concord, NC 28027, USA",North Carolina,United States,Monday: 11:00 AM ? 12:00 AM|Tuesday: 11:00 AM ? 12:00 AM|Wednesday: 11:00 AM ? 12:00 AM|Thursday: 11:00 AM ? 2:00 AM|Friday: 11:00 AM ? 2:00 AM|Saturday: 11:00 AM ? 2:00 AM|Sunday: 11:00 AM ? 12:00 AM,2,4,13,14,50
Yummy Yummy,26.639367,-82.037799,http://www.yummyyummycapecoral.com/,restaurant|food,restaurant,[],Cape Coral,+1 239-558-4380,"3015 SW Pine Island Rd #108, Cape Coral, FL 33991, USA",Florida,United States,Monday: 11:00 AM ? 9:30 PM|Tuesday: 11:00 AM ? 9:30 PM|Wednesday: 11:00 AM ? 9:30 PM|Thursday: 11:00 AM ? 9:30 PM|Friday: 11:00 AM ? 10:30 PM|Saturday: 11:00 AM ? 10:30 PM|Sunday: 11:00 AM ? 9:30 PM,2,4.6,56,27,56
Dunkin' Donuts,26.575545,-80.0541893,https://www.dunkindonuts.com/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=352175,bakery|cafe|restaurant|food|store,donut shop|bagel shop|baked goods store|bakeries and patisseries|bakery|breakfast restaurant|coffe container|coffee|coffee shop|espresso bar|fast food container|fast food restaurant|Fast Food|food products|pastry shop|sandwich shop|Sandwich|sweets|tea and coffee merchant,[],Lantana,+1 561-585-9027,"1101 S Dixie Hwy, Lantana, FL 33462, USA",Florida,United States,Monday: 5:00 AM ? 10:00 PM|Tuesday: 5:00 AM ? 10:00 PM|Wednesday: 5:00 AM ? 10:00 PM|Thursday: 5:00 AM ? 10:00 PM|Friday: 5:00 AM ? 10:00 PM|Saturday: 6:00 AM ? 10:00 PM|Sunday: 6:00 AM ? 10:00 PM,1,3.9,44,60,50
Bogie's Cafe,25.0956367,-80.4384006,http://www.facebook.com/pages/Key-Largo-FL/Bogies-Cafe-Key-Largo-Florida/164678537455?v=wall,restaurant|cafe|food,restaurant|cafe|coffee,[],Key Largo,+1 305-451-2121,"99701 Overseas Hwy, Key Largo, FL 33037, USA",Florida,United States,Monday: 7:00 ? 11:00 AM|Tuesday: 7:00 ? 11:00 AM|Wednesday: 7:00 ? 11:00 AM|Thursday: 7:00 ? 11:00 AM|Friday: 7:00 ? 11:00 AM|Saturday: 7:00 ? 11:00 AM|Sunday: 7:00 ? 11:00 AM,1,4.8,61,85,45
City Boys Pizza,26.3356238,-80.2003949,http://www.cityboyspizza.com/,restaurant|food,restaurant,"[""neil@usapowercomputers.com""]",Boca Raton,+1 561-482-0555,"9846 Sandalfoot Blvd, Boca Raton, FL 33428, USA",Florida,United States,Monday: 11:30 AM ? 10:00 PM|Tuesday: 11:30 AM ? 10:00 PM|Wednesday: 11:30 AM ? 10:00 PM|Thursday: 11:30 AM ? 10:00 PM|Friday: 11:30 AM ? 10:00 PM|Saturday: 11:30 AM ? 10:00 PM|Sunday: 11:30 AM ? 10:00 PM,2,4.1,48,61,68
Jersey Mike's Subs,26.318572,-80.203318,https://www.jerseymikes.com/13078/Parkland-FL,meal takeaway|restaurant|food|store,sandwich shop|Sandwich|business service|catering service|deli|fast food container|fast food restaurant|Fast Food|food products|meal takeaway|party service,"[""user@domain.com""]",Parkland,+1 954-755-0005,"7011 North State Road 7, Parkland, FL 33073, USA",Florida,United States,Monday: 10:00 AM ? 9:00 PM|Tuesday: 10:00 AM ? 9:00 PM|Wednesday: 10:00 AM ? 9:00 PM|Thursday: 10:00 AM ? 9:00 PM|Friday: 10:00 AM ? 9:00 PM|Saturday: 10:00 AM ? 9:00 PM|Sunday: 10:00 AM ? 9:00 PM,1,4.2,87,79,62
Best Way Pizza,40.178833,-78.6106398,http://www.bestwaypizza.com/,restaurant|food,pizza restaurant|Pizza|fast food container|pizzas|western food,"[""bestwaypizza@bestwaypizza.com""]",Pleasantville,+1 814-401-1046,"4204 Quaker Valley Rd, Alum Bank, PA 15521, USA",Pennsylvania,United States,Monday: 11:00 AM ? 10:00 PM|Tuesday: 11:00 AM ? 10:00 PM|Wednesday: 11:00 AM ? 10:00 PM|Thursday: 11:00 AM ? 10:00 PM|Friday: 11:00 AM ? 11:00 PM|Saturday: 11:00 AM ? 11:00 PM|Sunday: 11:00 AM ? 10:00 PM,1,4.3,42,76,55
O&M Halal,40.0304544,-75.1654369,http://omhalal.com/,restaurant|food,pizza restaurant|Pizza|fast food container|pizzas|western food,[],Philadelphia,+1 215-438-0453,"5101 Germantown Ave, Philadelphia, PA 19144, USA",Pennsylvania,United States,Monday: 9:00 AM ? 9:00 PM|Tuesday: 9:00 AM ? 9:00 PM|Wednesday: 9:00 AM ? 9:00 PM|Thursday: 9:00 AM ? 9:00 PM|Friday: 9:00 AM ? 10:00 PM|Saturday: 9:00 AM ? 10:00 PM|Sunday: Closed,2,4,24,74,55
