name,latitude,longitude,website,categories,sub categories,emails,address_city,phone,address,address_region_1,address_country,opening hours,price level,reviews,rating
Duck Donuts,35.9002652,-78.6823493,https://duckdonuts.com/locations/raleigh-nc/,bakery|cafe|restaurant|food|store,donut shop|baked goods store|bakeries and patisseries|breakfast restaurant|cafe|coffe container|coffee|coffee shop|dessert restaurant|dessert shop|food products|sweets|tea and coffee merchant,[],Raleigh,+1 919-847-3800,"8323 Creedmoor Rd, Raleigh, NC 27613, USA",North Carolina,United States,Monday: 6:00 AM � 7:00 PM|Tuesday: 6:00 AM � 7:00 PM|Wednesday: 6:00 AM � 7:00 PM|Thursday: 6:00 AM � 7:00 PM|Friday: 6:00 AM � 7:00 PM|Saturday: 6:00 AM � 7:00 PM|Sunday: 6:00 AM � 7:00 PM,,"[""Where do I begin? I am sitting in my car, parked in a nearby lot, slowlyu200b devouring the maple bacon masterpiece. This is my second trip to Duck Donuts, I really tried to only purchase one donut, but of course, I happily walked to my car with a dozen! I love these donuts! The perfect balance of a cake donut and a yeast donut with a subtle sweetness the invites your palate to experience more. The Duckies/employees are always wonderful and smiling when greeting you. Quack on Duck Donuts - you're the best!"", ""It's a fun experience for any kid or adult to visit a Duck Donuts location. Good customer service. Samples. Lots of options. I love the ability to customize my donut with flavorful icings and toppings all at no extra charge. Your donuts can all be the same or each very different.  I highly recommend a visit. "", ""My favorite donut place!  I love that they are made fresh. There are so many ways you can get your donuts.  My favorite is the cinnamon sugar.  Staff has always been nice and friendly. "", ""The nicest lady decorated my donuts ! she took special attention to something I was going to probably inhale anyway .... The donuts were great but the service was the best around!"", ""WOW! What amazing donuts! What I loved? (besides the taste) You actually """"design"""" your donut - glaze, topping, sprinkle - and no extra charge. Fresh and delicious! My favorite: maple with bacon bits! Add to that, they are LOCAL! Only, only  (small) downside, seating is extremely limited BUT don't let that stop you.""]",4.7
Taco Bell,35.5951747,-82.5329633,http://www.tacobell.com/,meal takeaway|restaurant|food,mexican restaurant|Mexican|breakfast restaurant|burrito restaurant|ethnic foods|fast food container|fast food restaurant|Fast Food|meal takeaway|southwestern us restaurant|taco restaurant|western food,[],Asheville,+1 828-253-4240,"67 Tunnel Rd, Asheville, NC 28805, USA",North Carolina,United States,Monday: 7:00 AM � 1:00 AM|Tuesday: 7:00 AM � 1:00 AM|Wednesday: 7:00 AM � 1:00 AM|Thursday: 7:00 AM � 1:00 AM|Friday: 7:00 AM � 2:00 AM|Saturday: 7:00 AM � 2:00 AM|Sunday: 7:00 AM � 1:00 AM,1,"[""I think this store is scamming people. They have one price on menu that is the same as online prices, but they added 10 cents to two of the items I purchased. I called them out and they told me the menu prices were wrong. Yea right! If they scam 10 cent here and there, it will add up fast. If the menu is wrong, update the freaking menu before you update the cash register."", ""Accuracy in order fulfillment has always been an issue here. Otherwise, it's Taco Bell."", ""Clean restaurant.  Consistent quick service. Consistent portions."", ""Best experience every had they were far and I was out the door just like that ud83dude00ud83dude00ud83dude00ud83dude00ud83dude00"", ""I was glad to see a taco bell. However upon getting our food it was so greasy and looked like it wasn't cooked all the way. so we threw it out and went to subway.""]",3.6
Itza Boutza Pizza,36.352894,-76.1455261,http://ibpizza.com/,restaurant|food,italian restaurant|Italian|fast food container|pizza restaurant|Pizza|pizzas|western food,[],Camden,+1 252-338-5660,"104 Investors Way, Camden, NC 27921, USA",North Carolina,United States,Monday: 11:00 AM � 9:00 PM|Tuesday: 11:00 AM � 9:00 PM|Wednesday: 11:00 AM � 9:00 PM|Thursday: 11:00 AM � 9:00 PM|Friday: 11:00 AM � 9:00 PM|Saturday: 11:00 AM � 9:00 PM|Sunday: 11:30 AM � 8:00 PM,,"[""We love all of their food. Pizzas are great, subs are the best and chicken Alfredo is better than olive garden by far. Tks to all the wonderful and very friendly staff....you rock !!!"", ""Great food and service. Highly recommend."", ""Good pizza good service and great wings..."", ""Awesome place!! Best wings south of Buffalo and very good pizza!"", ""Eat here several times a week Lunch or Dinner, best non greasey pizza,great spaghetti,salad just wish they had deserts lol . If your not a local you should stop in and eat .""]",4.7
Domino's Pizza,35.885234,-81.5311369,https://www.dominos.com/,restaurant|food,pizza restaurant|Pizza|fast food container|pizzas|western food,[],Lenoir,+1 828-728-1828,"Connelly Springs Rd, Lenoir, NC 28645, USA",North Carolina,United States,Monday: 10:30 AM � 11:00 PM|Tuesday: 10:30 AM � 11:00 PM|Wednesday: 10:30 AM � 11:00 PM|Thursday: 10:30 AM � 11:00 PM|Friday: 10:30 AM � 12:00 AM|Saturday: 10:30 AM � 12:00 AM|Sunday: 10:30 AM � 11:00 PM,1,[],
Twin Peaks Concord,35.3736376,-80.7260815,http://www.twinpeaksrestaurant.com/locations/concord/,bar|restaurant|food,american restaurant|American|bar and grill|Grill|bars and pubs|restaurant|sports bar|western food,"[""Randy.Dewitt@FBrest.com"", ""example@server.com"", ""marketing@twinpeaksrestaurant.com"", ""Franchise@TwinPeaksRestaurant.com"", ""mgtresumes@twinpeaksrestaurant.com"", ""construction@twinpeaksrestaurant.com"", ""development@twinpeaksrestaurant.com"", ""firehousemedia@firehouseagency.com""]",Concord,+1 910-467-8370,"8601 Concord Mills Boulevard, Concord, NC 28027, USA",North Carolina,United States,Monday: 11:00 AM � 12:00 AM|Tuesday: 11:00 AM � 12:00 AM|Wednesday: 11:00 AM � 12:00 AM|Thursday: 11:00 AM � 2:00 AM|Friday: 11:00 AM � 2:00 AM|Saturday: 11:00 AM � 2:00 AM|Sunday: 11:00 AM � 12:00 AM,,"[""Food was OK , the bottom of the bun disintegrated halfway through eating.  3 dogs on the patio barking at each other for 30 min. I'm allergic, so I won't be back here. Keep YOUR dog at YOUR house!! Just because YOU think it's ok, doesn't mean everyone else wants to be around them. If they were service dogs I would've understood, and just moved, they weren't, so I left. Only reason for 2 stars was the bartender Christie . Polite enough, but untrained. Instead of talking to her 2 friends sitting on the other side of the bar, take care of ALL of your customers.... You'll make more money."", ""The waitress that we had was wonderful but the bartender named Hailey was absolutely horrible I will not go back because of her. My drink order was placed and she was at the bar right behind me. She stood there and did nothing. My waitress had to go to the other bar on the other side of the restaurant just to get my drinks made. After a 20 min wait I finally got my drinks on a night that was not busy. Thank you Tiffany for doing a great job and going above and beyond."", ""Ate there after a long 9 hour drive, was so hungry. We waited a bit for our server, looked around and only the bar was busy. Ordered a med rare burger with no mustard. When it arrived it was loaded with mustard, so I sent it back. Waited about 15 minutes for a fresh burger. This time it had no mustard but was way overdone. They left the same fries from the previous burger under the heat lamp and didn't even bother to give me fresh ones. Because I was tired and didn't want to wait anymore I ate it anyway. Then when the server brought our check there was a 20% discount. Manager came by and gave us an additional  $2 off and a free queso dip card. That didn't even cover the cost of the burger that was terrible. Pointless to give me a free appetizer card, as I wont return after this experience. Servers looked like they could care less about their jobs. Horrible experience."", ""The place has good food but that can't overtake how bad the service is. Probably some of the worst I've ever seen. Me and my friend went last week. It was busy so we expected a little longer wait but our waitress was too busy getting Snapchat and Facebook info from the guys a table across from us. Tonight, took an all time high. Our waitress was very rude right out of the gate. Took 20 minutes to get our waters and come back to let us order. The table behind us also had an issue with her and after that her attitude was unbelievable. When we all asked for more water and ranch she brought back 1 water and 1 ranch. Had an attitude about it and we eventually had to get a manager to get us the other waters and ranch. After we were done, she slammed the forks and plates together right in front of our face with a very mean face. I understand that other tables may make you mad but don't put that attitude on other customers. Needless to stay I doubt we will be back other than for some good beer deals so we don't have to deal with """"I'm better than you"""" attitudes."", ""Great food and good service. Best Philly Cheesesteak sandwich ever. Great fish tacos and wings.""]",4
Yummy Yummy,26.639367,-82.037799,http://www.yummyyummycapecoral.com/,restaurant|food,restaurant,[],Cape Coral,+1 239-558-4380,"3015 SW Pine Island Rd #108, Cape Coral, FL 33991, USA",Florida,United States,Monday: 11:00 AM � 9:30 PM|Tuesday: 11:00 AM � 9:30 PM|Wednesday: 11:00 AM � 9:30 PM|Thursday: 11:00 AM � 9:30 PM|Friday: 11:00 AM � 10:30 PM|Saturday: 11:00 AM � 10:30 PM|Sunday: 11:00 AM � 9:30 PM,,"[""Cozy place with great food! I took my mom here and we had the Vegetable hibachi, Gyoza,  Miso Soup, Shrimp Tempura Roll, and the Spicy Shrimp Roll.

Gyoza- Hot and Fresh(like everything)! The Gyoza had fresh vegetables in it which was delicious! Would have preferred it fried on both sides, but they probably would do it if we asked

Vegetable Hibachi- So flavor filled! And the rice was cooked to perfection!

Miso Soup- It wasn't overpowering and had a very refreshing taste, it's my top comfort food!

Spicy Shrimp Roll- It was good, but i'm not a fan of spicy mayo. Not my favorite thing to eat, but it was still good.

Shrimp Tempura Roll- It's so hard to get good sushi lately, but this roll nailed it! The shrimp tempura was hot while the Avocado and cucumbers were nice and cool! So satisfying to eat!

Staff- wonderful nice people, very attentive as well

Price- For the good food, definitely a cheap-fair price range

I HIGHLY suggest eating here if you are in the mood for good Japanese cuisine!"", ""We enjoy Yummy Yummy each time we eat there :) Very reasonably priced and have not experienced any extended wait times. Would recommend!"", ""Wonderful sushi and chicken teriyaki was fantastic. Some of the best fried rice I have ever had. Cozy but sophisticated atmosphere and the service was great. Priced right for such great quality food. Would highly recommend!"", ""Good food and quick courteous service"", ""I ordered to go and when I got home we were short a Boston roll.  To make matters worse, the food was marginal at best.""]",4.6
Dunkin' Donuts,26.575545,-80.0541893,https://www.dunkindonuts.com/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=352175,bakery|cafe|restaurant|food|store,donut shop|bagel shop|baked goods store|bakeries and patisseries|bakery|breakfast restaurant|coffe container|coffee|coffee shop|espresso bar|fast food container|fast food restaurant|Fast Food|food products|pastry shop|sandwich shop|Sandwich|sweets|tea and coffee merchant,[],Lantana,+1 561-585-9027,"1101 S Dixie Hwy, Lantana, FL 33462, USA",Florida,United States,Monday: 5:00 AM � 10:00 PM|Tuesday: 5:00 AM � 10:00 PM|Wednesday: 5:00 AM � 10:00 PM|Thursday: 5:00 AM � 10:00 PM|Friday: 5:00 AM � 10:00 PM|Saturday: 6:00 AM � 10:00 PM|Sunday: 6:00 AM � 10:00 PM,1,"[""Come here everyday. Always fast and polite and never get my orders wrong. Great place"", ""Always super polite, and they make my coffee order very well. Keep it up guys!"", ""Love the manager. People are friendly, they have been hiring alot of new people lately and I'm not too fond of them but I love that they have a drive thru"", ""This Dunkin is just ok. The one by publix on Lantana is better but thus location is bigger. The crew is pretty nice but the food never taste fresh like the Dunkin by publix. Wish the dunkin Donuts down here were more like they are in New England"", ""This location makes great cappuccinos and they have my favorite donut, toasted coconut.""]",3.9
Bogie's Cafe,25.0956367,-80.4384006,http://www.facebook.com/pages/Key-Largo-FL/Bogies-Cafe-Key-Largo-Florida/164678537455?v=wall,restaurant|cafe|food,restaurant|cafe|coffee,[],Key Largo,+1 305-451-2121,"99701 Overseas Hwy, Key Largo, FL 33037, USA",Florida,United States,Monday: 7:00 � 11:00 AM|Tuesday: 7:00 � 11:00 AM|Wednesday: 7:00 � 11:00 AM|Thursday: 7:00 � 11:00 AM|Friday: 7:00 � 11:00 AM|Saturday: 7:00 � 11:00 AM|Sunday: 7:00 � 11:00 AM,,"[""We ate a light lunch before our cruise.  Nice dining room next to the pool deck.  Food was prepared well and served hot."", ""Admittedly, this isn't a cheap restaurant. A big salad and a soda + tax and tip ended around 18$. However, I highly recommend the chicken cobb salad. The vegetables were very fresh and tasty and the portion was generous. Soda refills are free and the service was professional and friendly. All in all it's good value for money."", """", """"]",4.8
City Boys Pizza,26.3356238,-80.2003949,http://www.cityboyspizza.com/,restaurant|food,restaurant,"[""neil@usapowercomputers.com""]",Boca Raton,+1 561-482-0555,"9846 Sandalfoot Blvd, Boca Raton, FL 33428, USA",Florida,United States,Monday: 11:30 AM � 10:00 PM|Tuesday: 11:30 AM � 10:00 PM|Wednesday: 11:30 AM � 10:00 PM|Thursday: 11:30 AM � 10:00 PM|Friday: 11:30 AM � 10:00 PM|Saturday: 11:30 AM � 10:00 PM|Sunday: 11:30 AM � 10:00 PM,,"[""We love this place price n the food is awesome very friendly n on time delivery"", ""Great pizza. Always family friendly here."", ""Lovely pizza proper Italian style. Great people."", ""City Boys is awesome! We have ordered so may things off the menu! We order at least once a week! They even bring my order out to the car when I pick it up so I don't have to take my kids out of the car while they are sleeping and my 2 year old loves the pasta fagoli soup! They customer service is awesome they know me by name! I am so glad to have such a great family business so close to my house!!! Thanks city boys keep up the great food and service!"", ""This is my absolute favorite pizza place in all of Sth Fl.  Their NY style pizza is truly authentic.  The owners are very nice.""]",4.1
Jersey Mike's Subs,26.318572,-80.203318,https://www.jerseymikes.com/13078/Parkland-FL,meal takeaway|restaurant|food|store,sandwich shop|Sandwich|business service|catering service|deli|fast food container|fast food restaurant|Fast Food|food products|meal takeaway|party service,"[""user@domain.com""]",Parkland,+1 954-755-0005,"7011 North State Road 7, Parkland, FL 33073, USA",Florida,United States,Monday: 10:00 AM � 9:00 PM|Tuesday: 10:00 AM � 9:00 PM|Wednesday: 10:00 AM � 9:00 PM|Thursday: 10:00 AM � 9:00 PM|Friday: 10:00 AM � 9:00 PM|Saturday: 10:00 AM � 9:00 PM|Sunday: 10:00 AM � 9:00 PM,1,"[""Service was fast and sandwich was great. The seating area however was wet and not dried properly. Also whatever product they used got all over my companions' pant leg and foot."", ""All in all, a great sandwich! I wish there was a Jersey Mike's near us at home. It is really good!"", ""I never had a hot sub from Jersey Mikes today I ordered one they made my sub how they wanted to and didn't ask me do I want any condiments it was dry and not good and I'm very disappointed never again ud83dude45ud83cudffd"", ""Food is always amazing and the staff is always friendly we come here often"", ""Got the Italian on parmesan rosemary bread all the way plus cherry pepper relish. Absolutely excellent.""]",4.2
